Exch,ExchType,Token,LastRate,LastQty,TotalQty,High,Low,OpenRate,PClose,AvgRate,Time,BidQty,BidRate,OffQty,OffRate,TBidQ,TOffQ,TickDt,ChgPcnt
N,C,1594,1901.75,4618,510471,1923.7,1901,1919.3,1915.65,1910.05,12828,400,1901.8,18,1902.25,137572,180208,/Date(1738901028000)/,-0.725602269
N,C,11483,3357.4,16,64225,3369.95,3350.35,3367,3352.75,3357.43,12828,6,3356.35,2,3357.4,90457,94643,/Date(1738901028000)/,0.138692111
B,C,500180,1754.75,30,26457,1757.35,1747.5,1750.55,1744.7,1753.29,12828,15,1754.75,37,1755.5,72579,89274,/Date(1738901028000)/,0.576030254
B,C,500112,742.15,42,210649,761.8,740.55,761.8,752.35,744.97,12828,43,741.75,287,742.15,158594,241696,/Date(1738901028000)/,-1.355752
N,C,3045,741.7,1163,4513590,759.9,740.8,759.8,752.25,745.72,12828,2818,741.7,132,741.95,881580,1256790,/Date(1738901028000)/,-1.40245926
B,C,532174,1269.7,10,5419,1273.35,1268.25,1272.6,1272.65,1270.39,12828,41,1268.9,87,1269.65,69045,85354,/Date(1738901028000)/,-0.231799781
B,C,500325,1271.6,4,46517,1284.75,1266.45,1266.45,1281.55,1271.96,12828,46,1271.6,86,1272.25,113208,121615,/Date(1738901028000)/,-0.7764036
B,C,500510,3356,14,5092,3397.85,3349.6,3397.85,3352.9,3358.13,12828,5,3356.05,8,3357.35,20093,26120,/Date(1738901028000)/,0.09245727
B,C,500112,741.9,20,210669,761.8,740.55,761.8,752.35,744.97,12828,43,741.75,287,742.15,162236,241758,/Date(1738901028000)/,-1.38898122
N,C,11536,4033,78,219289,4090,4028.7,4090,4082.75,4051.82,12828,35,4032.85,11,4033,71999,85330,/Date(1738901028000)/,-1.21854138
N,C,1394,2352.5,31,91805,2381.95,2350,2380,2372.7,2356.45,12824,363,2352.5,1,2353.3,85060,67358,/Date(1738901024000)/,-0.8513507
N,C,2885,1272.15,23,1240710,1283.7,1269.4,1276.15,1281.55,1273.89,12829,84,1271.85,54,1272.15,311734,515663,/Date(1738901029000)/,-0.7334868
N,C,1594,1901.8,425,510896,1923.7,1901,1919.3,1915.65,1910.04,12828,400,1901.8,10,1902.25,137760,182045,/Date(1738901028000)/,-0.7229922
N,C,11483,3357.35,4,64229,3369.95,3350.35,3367,3352.75,3357.43,12829,1,3356.25,12,3357.35,90606,96599,/Date(1738901029000)/,0.1372008
N,C,1333,1755.4,1498,1733701,1757.5,1746.75,1750,1743.85,1752.75,12829,76,1755.3,114,1755.4,230984,390594,/Date(1738901029000)/,0.6623276
B,C,532174,1269.65,3,5422,1273.35,1268.25,1272.6,1272.65,1270.39,12829,41,1268.9,84,1269.65,65694,86081,/Date(1738901029000)/,-0.235728592
N,C,3045,741.8,3580,4517170,759.9,740.8,759.8,752.25,745.72,12829,2277,741.7,102,741.8,880949,1262395,/Date(1738901029000)/,-1.38916588
B,C,500180,1755,20,26477,1757.35,1747.5,1750.55,1744.7,1753.29,12829,41,1754.75,46,1755.5,72985,86506,/Date(1738901029000)/,0.5903594
N,C,11536,4033.9,90,219379,4090,4028.7,4090,4082.75,4051.81,12829,36,4033.9,3,4033.95,72333,85412,/Date(1738901029000)/,-1.19649744
B,C,500112,742.25,114,210783,761.8,740.55,761.8,752.35,744.97,12829,612,741.8,30,742.3,165730,242617,/Date(1738901029000)/,-1.34246027
N,C,2885,1271.85,25,1240735,1283.7,1269.4,1276.15,1281.55,1273.89,12830,80,1271.85,93,1272.15,311668,515539,/Date(1738901030000)/,-0.756895959
N,C,1594,1901.9,400,511296,1923.7,1901,1919.3,1915.65,1910.04,12830,400,1901.65,13,1902.25,134887,182312,/Date(1738901030000)/,-0.717772
N,C,11483,3356.75,86,64315,3369.95,3350.35,3367,3352.75,3357.43,12830,21,3356.2,12,3357.55,90463,96558,/Date(1738901030000)/,0.119305052
N,C,3045,741.9,4200,4521370,759.9,740.8,759.8,752.25,745.71,12830,851,741.8,456,742.05,884742,1258674,/Date(1738901030000)/,-1.37587237
B,C,500180,1755.5,3,26480,1757.35,1747.5,1750.55,1744.7,1753.29,12830,41,1754.75,43,1755.5,73125,86557,/Date(1738901030000)/,0.6190176
B,C,500112,742.25,5,210788,761.8,740.55,761.8,752.35,744.97,12830,5,742,215,742.25,167108,240136,/Date(1738901030000)/,-1.34246027
N,C,11536,4033.9,37,219416,4090,4028.7,4090,4082.75,4051.81,12831,18,4033.9,45,4033.95,72486,85417,/Date(1738901031000)/,-1.19649744
